id,timestamp,recipient,medium,thread_id,parent_ts,body,reactions,is_reply
sample-001,2026-05-10T22:00:00+05:30,mayank,email,—,—,"Hey Mayank,
AI Update 10 May

Mom was visiting from Delhi after three months. Most of Saturday went to her, and the build happened in the evenings and on Sunday. That is why this weekend's update is just one thing.

AI agent ecosystem: built a small team of 8 AI assistants this weekend, each named after a Mahabharata character whose role in the story matches the job.

Vidura - the truth-telling minister - does research and tags every source by how trustworthy it is. Refuses to invent answers.
Hanuman - the scout - researches profiles and brings back full reports. Never acts on its own.
Narada - the messenger - writes messages. Daily updates, drafts, anything that needs careful wording.
Arjuna - the precise archer - actually sends messages and pushes data. Refuses to act if the instruction is unclear.
Nakula - the master of logistics - runs scheduled jobs in the background. Daily syncs, weekly reports.
Sanjaya - the divine narrator - watches the five above and proposes improvements. Cannot act on its own ideas; sends them to me.
Vyasa - the author of the epic - watches Sanjaya and proposes changes to how Sanjaya works. Same rule: proposes, never acts.
Sahadeva - the seer who speaks only when asked - runs once a week with no memory of the others and independently checks if anything looks off. Only tells me; cannot fix anything.

There is also a written rulebook called Bhishma, the vow-bound grandsire. It holds all the rules every assistant has to follow. Only I can edit it. None of the assistants can change themselves. Every meaningful suggestion they make has to come to me before anything actually happens.

Tomorrow:

Phase 2.B of the classifier (showing the model 2-3 example answer pairs).
Roll out the new Data Request channel so every data request goes through the form.",,false
sample-002,2026-04-21T19:39:00+05:30,mayank,slack,—,—,hey yesterday was working on the acquisition task only now also I am with pranav working on the same task would start sending whatever i have learned on AI without fail from today itself,,true
sample-003,2026-04-22T06:55:00+05:30,mayank,slack,—,—,"AI Update Day 1

Went through Andrej Karpathy's talk on how LLMs work. Key takeaway is that LLMs are not just chatbots, the real power is in tool use where they can browse the web, write and run code, do calculations. It's closer to a new operating system than a chat interface. Will be sharing one of these every day.",,false
sample-004,2026-04-22T21:15:00+05:30,mayank,slack,—,—,"AI Update Day 2

Set up a fully local AI environment using Google's Gemma 4 (Apache 2.0, released 2 weeks ago) with LM Studio and Apple MLX as the inference backend. Built a Streamlit chat UI in Python that connects to the local model server. Tested across reasoning, coding, writing, and math — model ran at 25 tokens/sec with no API, no cloud, zero cost per query.",,false
sample-005,2026-04-23T12:41:00+05:30,mayank,slack,—,—,"Hey Mayank

Business side: Coordinated with Ashdeep to push 60 creator outreach messages yesterday across the acquisition pipeline, covering both first follow-ups for new creators and second follow-ups for those who hadn't responded. This is part of the ongoing effort creator's acquisition pipeline

AI side: What I built yesterday runs entirely on-device with zero API costs. This week I'm connecting it to our Google Sheets and TikTok creator data so it can answer pipeline questions in plain English like who needs follow-up, who's underperforming, draft outreach messages instantly. Redis caching and a DB layer come after for speed and scale.

Let me know if you need any other update cause the context I understood this is the update for yesterday",,false
sample-006,2026-04-23T22:29:00+05:30,mayank,slack,—,—,"Update for yesterday and today :

Daily reporting: Updated the sheets and uploaded raw data for the Dashboard

Acquisition: Pushed Follow ups 1 2 and First messages to the creators part of the acquisition pipe line
AI: learned about building AI agents the introduction do's and dont's
Understanding that build my first AI agent for about research and learning",,false
sample-007,2026-04-23T22:05:00+05:30,mayank,slack,—,—,"Hey Mayank,
Updates on what I've been working on recently:
Business: Updated sheets and uploaded raw data for the dashboard. Coordinating with Arshdeep on creator outreach, pushing follow-up messages across the acquisition pipeline.
AI: Kicked off my first AI project today. Shipped:
• Full Python setup, venv, deps, secrets handling
• hello.py, first working OpenAI API call (auth → request → parsed response, end-to-end)
• README + reference docs so every line is defensible
The project: an LLM-powered Job Description Classifier. Input: raw JD text. Output: structured JSON across seniority, work-mode, and industry, plus an eval harness measuring accuracy against a hand-labeled test set.
For a while I was figuring out how to actually approach learning AI, decided the only way that makes sense for me is learning by building. Every concept gets a project attached to it.
Trajectory: classifier → classical ML → RAG → agents → fine-tuning → production deploy, each stage a working shipped project.
Will share GitHub link once past scaffolding. From here on, daily updates without fail.",,false
sample-008,2026-04-24T22:27:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 24 April

Project live on GitHub
https://github.com/Krtvy/LabeLLM

Shipped today:
• Working Python that hits OpenAI's API end to end. Prompt in, full structured response parsed out (id, model, usage, finish reason).
• Built both of OpenAI's text endpoints side by side (responses.create and chat.completions.create). Same task, two implementations, real comparison of where they differ.
• Clean scaffolding: isolated environment, secrets out of git, pinned dependencies, four clean commits on GitHub.

Next: token accounting and cost per call, then consolidating both endpoints into one reusable function with retries and error handling.",,false
sample-009,2026-04-25T01:52:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 25 April

Saturday was less coding, more going over what I have built.

What I did:

• Started looking at HyperAgent. Pranav told me to check it out. Trying to understand how AI agent tools work.
• Went back through the code and notes I wrote last week. Wanted to really understand every line before moving to the next part.
• Read up on the basics again. Things like how tokens work and the settings you can pass.

Sunday onwards I have two things going in parallel:

1. My classifier project: figure out how the AI charges per call, then build one clean function I can reuse with proper error handling.

2. The system Shambu asked me to build. Pulls a creator's latest 10 videos from Apify, gets the transcripts, does visual analysis, and builds a creator profile (style, tone, pacing, video format). End to end. Pushed to GitHub. Deployed as an API where you give a username and get back a profile card.

Repo (classifier): https://github.com/Krtvy/LabeLLM",,false
sample-010,2026-04-26T02:17:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 26 April

Shipped today:

Built tokens.py for the classifier project. It reads token usage from each API response and calculates the dollar cost per call. A single call is fractions of a cent, but tracking this matters once we are running at volume.

Started on the creator profile system Shambu asked me to build. Set up the project with FastAPI, Apify, and Google Gemini. Phase 1 is working end to end locally: given a TikTok creator username, the API fetches their latest 10 videos and returns the metadata (IDs, durations, average length). Includes retry logic for network failures.

Will request the API keys from Shambu tomorrow (Apify, Kalodata, Gemini). Once those are in, I can run it against a real creator and move into Phase 2 (transcripts) and Phase 3 (visual analysis).

Tomorrow plan:

1. Consolidate tokens.py with the existing classifier code into a single reusable function with proper retry and error handling.
2. Creator profile system: get the keys from Shambu, run a real end to end test, push to GitHub, then begin Phase 2 (transcripts).

Links:

- https://github.com/Krtvy/LabeLLM (classifier with tokens.py)
- Creator profile system: local for now, pushing to GitHub once I have the keys and a successful real run.",,false
